"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
4,"3","CHOYP_LOC101157371.3.3.m.51109",26.3606,44.47595,35.07235,60.81375,61.46505,68.1714,43.78625
39,"3","CHOYP_LOC101169658.2.3.m.20752",3.40875,8.2151,58.0008,188.02175,212.2051,371.88895,343.9124
40,"3","CHOYP_LOC101173335.4.4.m.49816",182.6314,74.04785,57.98815,58.2571,163.1489,183.0191,168.2268
4,"3","CHOYP_LOC575405.1.1.m.18640",18.84625,23.34435,28.7861,35.7438,44.3294,36.1584,25.0327
41,"3","CHOYP_LOC587133.1.1.m.61281",298.17555,365.99355,410.38745,303.24275,334.5834,379.27185,287.51045
2,"3","CHOYP_LOC587840.1.1.m.10143",36.84045,48.6487,42.33555,26.4243,26.62405,31.30575,19.92385
2,"3","CHOYP_LOC588440.1.1.m.4951",25.66975,29.09245,24.84355,23.1305,30.9788,27.95925,36.07095
4,"3","CHOYP_LOC589108.1.2.m.9688",44.5238,38.1343,31.22985,40.37215,33.1748,21.50085,29.53825
4,"3","CHOYP_LOC658895.1.1.m.20262",63.7875,60.3686,71.6763,58.16865,61.02605,68.439,72.8067
4,"3","CHOYP_LOC659226.1.3.m.16864",25.97485,31.2783,31.52775,31.2248,39.25015,21.37245,46.8123
1,"3","CHOYP_LOC660560.1.4.m.31036",84.2122,99.0184,120.48365,114.94305,126.16195,174.24495,100.45835
45,"3","CHOYP_LOC752782.1.1.m.53937",0.1,255.1912,439.6172,0.1,0.1,0.1,0.1
62,"3","CHOYP_LOC754102.1.1.m.57578",727.5924,194.2018,196.68555,413.94255,166.4163,215.3891,99.74995
4,"3","CHOYP_LOC754355.1.1.m.66745",59.7855,61.45385,0.1,12.276,4.2154,4.33685,0.1
4,"3","CHOYP_LRP5.1.3.m.18025",53.85565,54.85595,62.9643,51.2124,44.12805,46.7058,59.3314
2,"3","CHOYP_MCEE.1.1.m.62224",34.4222,33.1498,23.4165,17.6198,7.24245,45.126,41.0967
4,"3","CHOYP_MCM3.1.1.m.14853",30.70585,31.50665,38.2045,34.07465,34.27925,20.35865,28.35845
3,"3","CHOYP_MDHC.1.1.m.57053",101.15255,89.46845,106.35345,108.30365,136.21565,128.4354,92.4813
3,"3","CHOYP_MGC89016.1.2.m.76",57.8242,58.21625,59.83615,56.2155,71.1647,79.90815,78.4931
42,"3","CHOYP_MLE.1.9.m.15462",332.974,405.21395,268.20645,217.60245,297.9735,423.1871,279.31435
7,"3","CHOYP_MYS.4.7.m.18188",141.88085,162.82165,168.01925,164.15425,158.0989,178.9106,180.6226
17,"3","CHOYP_MYS.7.7.m.44342",215.68245,229.6529,155.28895,154.20775,162.70525,202.76995,211.69315
43,"3","CHOYP_MYSP.1.9.m.1097",364.6204,79.74485,47.1293,188.0331,99.6236,250.0452,132.43355
44,"3","CHOYP_MYSP.4.9.m.2302",259.19385,853.89705,992.7304,784.781,851.46595,477.3096,1014.5178
5,"3","CHOYP_MYSP.8.9.m.44813",161.40425,203.59025,192.5266,210.51245,207.6088,172.4519,239.55005
4,"3","CHOYP_NASP.2.4.m.13404",25.12535,31.28375,34.52435,34.23095,29.1896,32.00465,18.0749
7,"3","CHOYP_NEMVEDRAFT_V1G120119.1.2.m.6082",121.978,121.57785,189.22455,200.1645,158.8146,146.9789,173.1578
11,"3","CHOYP_NEMVEDRAFT_V1G140878.1.1.m.18069",134.22785,157.1749,156.7626,133.46755,78.68885,77.7751,108.29155
2,"3","CHOYP_NEMVEDRAFT_V1G162365.1.1.m.8038",27.61925,22.1801,35.73885,32.8495,30.15505,25.16815,36.66595
4,"3","CHOYP_NEMVEDRAFT_V1G179716.1.1.m.55972",28.6735,28.8737,31.6385,30.5121,25.4338,36.8779,24.22645
4,"3","CHOYP_NEMVEDRAFT_V1G232294.1.1.m.22465",48.8753,54.9409,59.3429,70.73015,66.9904,66.68605,81.1214
4,"3","CHOYP_NEMVEDRAFT_V1G236573.2.2.m.47233",62.37105,49.4832,49.93445,37.4311,37.70985,39.89625,63.30035
47,"3","CHOYP_NEMVEDRAFT_V1G242065.1.1.m.21817",383.3097,330.5441,388.00225,502.85645,414.7447,458.4088,452.8544
4,"3","CHOYP_NEMVEDRAFT_V1G242153.2.4.m.15572",41.72415,76.739,14.97105,11.54035,27.80995,0.1,0.1
2,"3","CHOYP_NEMVEDRAFT_V1G957.1.1.m.27284",21.1601,27.1955,25.6129,28.86885,29.01495,38.4238,39.81455
3,"3","CHOYP_NEMVEDRAFT_V1G97278.2.2.m.63648",0.1,63.32175,91.2334,71.7577,44.21045,76.71955,87.2563
4,"3","CHOYP_NFS1.1.1.m.1622",27.21955,30.78815,33.3563,36.369,31.63435,24.54185,12.5752
4,"3","CHOYP_NPC2.5.7.m.30911",57.6518,62.96075,44.60195,46.80265,43.1648,58.61545,71.50175
12,"3","CHOYP_NPC2.6.7.m.31030",87.8344,173.0241,252.0057,269.33205,363.95865,262.2899,273.89035
2,"3","CHOYP_NRP.2.4.m.39720",0.1,9.2498,31.70115,27.4279,29.70535,23.08915,26.75965
22,"3","CHOYP_ODC1.1.1.m.12032",78.64235,93.95235,73.22525,67.5008,109.3485,219.2904,83.57345
4,"3","CHOYP_OLA1.2.2.m.28588",58.30735,53.5049,68.6946,63.71855,62.937,68.23135,60.8243
4,"3","CHOYP_PABP2.1.1.m.12768",49.00715,40.1405,42.8155,29.82115,37.6662,23.9472,32.5563
52,"3","CHOYP_PAN2.1.1.m.44691",373.3665,507.825,0.1,479.97415,0.1,300.49035,0.1
