"ID","Cluster","Silo","D0","D3","D5","D7","D9","D11","D13","Gene.names"
"CHOYP_AAK1.1.1.m.14768",1,"3",0.46785,0.4526,0.809,0.85055,0.48565,0.49835,0.60275,"AAK1 KIAA1048"
"CHOYP_AAK1.1.1.m.14769",1,"9",0.1,1.04635,2.17865,0.1,0.1,1.12225,1.98755,"ASH2L ASH2L1"
"CHOYP_AAK1.1.1.m.14769",1,"3",0.1,0.9987,0.1,0.1,0.1,1.1065,0.1,"ASH2L ASH2L1"
"CHOYP_AAKG2.1.1.m.55638",1,"3",0.9174,0.88575,0.88285,0.1,3.5456,4.7544,2.3091,"PRKAG2"
"CHOYP_AAKG2.1.1.m.55638",1,"9",0.9174,0.9372,2.8533,4.21815,6.43845,2.86615,0.9269,"PRKAG2"
"CHOYP_AAMP.1.1.m.13698",1,"3",5.28135,1.32055,1.31615,0.1,5.3903,2.8834,3.56435,"AAMP"
"CHOYP_AAMP.1.1.m.13698",1,"9",5.28135,0.1,0.1,3.20645,2.79565,4.3849,1.38315,"AAMP"
"CHOYP_AASI_1435.2.35.m.17918",1,"3",0.1,0.1,0.1,1.28765,0.1,1.38005,0.1,"MIMI_L62"
"CHOYP_AASI_1435.2.35.m.17918",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"MIMI_L62"
"CHOYP_AASI_1435.28.35.m.60443",1,"9",0.83485,0.1,0.1,0.1,0.1,0.909,0.1,"R11A8.7"
"CHOYP_AASI_1435.28.35.m.60443",1,"3",0.83485,0.1,0.1,0.1,0.84525,0.1,0.1,"R11A8.7"
"CHOYP_AASI_1435.35.35.m.65339",1,"9",0.1,0.34715,0.6849,0.1,0.1,0.3698,0.1,"None"
"CHOYP_AASI_1435.35.35.m.65339",1,"3",0.1,0.3315,0.1,0.3432,0.34605,0.6389,0.1,"None"
"CHOYP_AATF.1.1.m.34004",1,"3",0.1,0.1,1.8537,0.1,1.9635,0.1,0.1,"AATF RCJMB04_24o4"
"CHOYP_AATF.1.1.m.34004",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"AATF RCJMB04_24o4"
"CHOYP_AATM.1.1.m.32176",1,"9",84.44405,105.4166,109.48385,124.15585,112.28565,107.1557,102.1318,"got2 TGas123d19.1"
"CHOYP_AATM.1.1.m.32176",1,"3",84.44405,89.98225,96.87005,121.1234,104.04405,107.36505,132.48225,"got2 TGas123d19.1"
"CHOYP_ABCA1.1.3.m.6501",1,"3",0.1,0.1,0.1,0.1,0.4023,0.1,0.1,"ABCA12 ABC12"
"CHOYP_ABCA1.1.3.m.6501",1,"9",0.1,0.1,0.1,0.47065,0.1,0.1,0.1,"ABCA12 ABC12"
"CHOYP_ABCA1.3.3.m.56453",1,"9",0.1,0.1,0.1,0.32755,0.1,0.1,0.1,"Abca1 Abc1"
