"","Silo3","Silo9"
"150","CHOYP_G6PD.2.2.m.46923.90","CHOYP_G6PD.2.2.m.46923.3.93"
"151","CHOYP_G6PD.2.2.m.46923.91","CHOYP_G6PD.2.2.m.46923.3.94"
"152","CHOYP_G6PD.2.2.m.46923.92","CHOYP_ALF.3.3.m.66837.14"
"153","CHOYP_G6PD.2.2.m.46923.93","CHOYP_G6PD.2.2.m.46923.3.95"
"154","CHOYP_G6PD.2.2.m.46923.94","CHOYP_G6PD.2.2.m.46923.3.96"
"155","CHOYP_G6PD.2.2.m.46923.95","CHOYP_G6PD.2.2.m.46923.3.97"
"156","CHOYP_G6PD.2.2.m.46923.96","CHOYP_G6PD.2.2.m.46923.3.98"
"157","CHOYP_G6PD.2.2.m.46923.97","CHOYP_FYN.1.1.m.44312.11"
"158","CHOYP_ALF.3.3.m.66837.10","CHOYP_G6PD.2.2.m.46923.3.99"
"159","CHOYP_G6PD.2.2.m.46923.98","CHOYP_G6PD.2.2.m.46923.3.100"
"160","CHOYP_G6PD.2.2.m.46923.99","CHOYP_G6PD.2.2.m.46923.3.101"
"161","CHOYP_G6PD.2.2.m.46923.100","CHOYP_G6PD.2.2.m.46923.3.102"
"162","CHOYP_FYN.1.1.m.44312.23","CHOYP_G6PD.2.2.m.46923.3.103"
"163","CHOYP_G6PD.2.2.m.46923.101","CHOYP_G6PD.2.2.m.46923.2.16"
"164","CHOYP_G6PD.2.2.m.46923.102","CHOYP_G6PD.2.2.m.46923.3.104"
"165","CHOYP_G6PD.2.2.m.46923.103","CHOYP_G6PD.2.2.m.46923.3.105"
"166","CHOYP_G6PD.2.2.m.46923.104","CHOYP_G6PD.2.2.m.46923.3.106"
"167","CHOYP_1433G.2.2.m.63450.10","CHOYP_G6PD.2.2.m.46923.1.8"
"168","CHOYP_G6PD.2.2.m.46923.105","CHOYP_G6PD.2.2.m.46923.3.107"
"169","CHOYP_FUT8.1.1.m.9231.13","CHOYP_G6PD.2.2.m.46923.3.108"
"170","CHOYP_G6PD.2.2.m.46923.106","CHOYP_G6PD.2.2.m.46923.3.109"
"171","CHOYP_G6PD.2.2.m.46923.107","CHOYP_G6PD.2.2.m.46923.10"
"172","CHOYP_FYN.1.1.m.44312.24","CHOYP_G6PD.2.2.m.46923.2.17"
"173","CHOYP_FUT8.1.1.m.9231.14","CHOYP_G6PD.2.2.m.46923.3.110"
"174","CHOYP_G6PD.2.2.m.46923.108","CHOYP_ALF.3.3.m.66837.15"
"175","CHOYP_G6PD.2.2.m.46923.109","CHOYP_G6PD.2.2.m.46923.3.111"
"176","CHOYP_FUT8.1.1.m.9231.15","CHOYP_G6PD.2.2.m.46923.2.18"
"177","CHOYP_G6PD.2.2.m.46923.110","CHOYP_G6PD.2.2.m.46923.3.112"
"178","CHOYP_G6PD.2.2.m.46923.111","CHOYP_G6PD.2.2.m.46923.3.113"
"179","CHOYP_G6PD.2.2.m.46923.112","CHOYP_G6PD.2.2.m.46923.11"
"180","CHOYP_G6PD.2.2.m.46923.113","CHOYP_G6PD.2.2.m.46923.3.114"
"181","CHOYP_G6PD.2.2.m.46923.114","CHOYP_G6PD.2.2.m.46923.2.19"
"182","CHOYP_G6PD.2.2.m.46923.115","CHOYP_G6PD.2.2.m.46923.3.115"
"183","CHOYP_G6PD.2.2.m.46923.116","CHOYP_G6PD.2.2.m.46923.3.116"
"184","CHOYP_G6PD.2.2.m.46923.117","CHOYP_G6PD.2.2.m.46923.1.9"
"185","CHOYP_FUT8.1.1.m.9231.16","CHOYP_G6PD.2.2.m.46923.3.117"
"186","CHOYP_G6PD.2.2.m.46923.118","CHOYP_G6PD.2.2.m.46923.3.118"
"187","CHOYP_G6PD.2.2.m.46923.119","CHOYP_G6PD.2.2.m.46923.3.119"
"188","CHOYP_G6PD.2.2.m.46923.120","CHOYP_FYN.1.1.m.44312.12"
"189","CHOYP_1433G.2.2.m.63450.11","CHOYP_G6PD.2.2.m.46923.3.120"
"190","CHOYP_G6PD.2.2.m.46923.121","CHOYP_G6PD.2.2.m.46923.3.121"
"191","CHOYP_G6PD.2.2.m.46923.122","CHOYP_G6PD.2.2.m.46923.3.122"
"192","CHOYP_G6PD.2.2.m.46923.123","CHOYP_G6PD.2.2.m.46923.12"
"193","CHOYP_G6PD.2.2.m.46923.124","CHOYP_G6PD.2.2.m.46923.3.123"
"194","CHOYP_G6PD.2.2.m.46923.125","CHOYP_G6PD.2.2.m.46923.3.124"
"195","CHOYP_G6PD.2.2.m.46923.126","CHOYP_G6PD.2.2.m.46923.2.20"
"196","CHOYP_G6PD.2.2.m.46923.127","CHOYP_G6PD.2.2.m.46923.2.21"
"197","CHOYP_G6PD.2.2.m.46923.128","CHOYP_G6PD.2.2.m.46923.3.125"
"198","CHOYP_G6PD.2.2.m.46923.129","CHOYP_G6PD.2.2.m.46923.3.126"
"199","CHOYP_G6PD.2.2.m.46923.130","CHOYP_G6PD.2.2.m.46923.3.127"
"200","CHOYP_FYN.1.1.m.44312.25","CHOYP_G6PD.2.2.m.46923.3.128"
"201","CHOYP_G6PD.2.2.m.46923.131","CHOYP_G6PD.2.2.m.46923.2.22"
"202","CHOYP_G6PD.2.2.m.46923.132","CHOYP_G6PD.2.2.m.46923.3.129"
"203","CHOYP_G6PD.2.2.m.46923.133","CHOYP_G6PD.2.2.m.46923.3.130"
"204","CHOYP_G6PD.2.2.m.46923.134","CHOYP_G6PD.2.2.m.46923.3.131"
"205","CHOYP_G6PD.2.2.m.46923.135","CHOYP_G6PD.2.2.m.46923.3.132"
"206","CHOYP_FYN.1.1.m.44312.26","CHOYP_G6PD.2.2.m.46923.3.133"
"207","CHOYP_G6PD.2.2.m.46923.136","CHOYP_G6PD.2.2.m.46923.3.134"
