"","fc3","fc5","fc7","fc9","fc11","fc13"
"CHOYP_2A5D.3.3|m.37716",-4.47853614344435,-5.33204783717468,-1.37104138126774,-4.21661167695403,-4.42866113251292,-5.84721562387382
"CHOYP_ABCB6.2.3|m.11344",-6.39050143508912,-8.24966249036767,-6.97112875285798,-7.40690508214367,-7.3680280695872,-6.07181909478154
"CHOYP_BRAFLDRAFT_206907.11.11|m.60961",-18.4280358068591,-16.9671562634229,-20.4286128293984,-18.8772005975771,-15.5086144562877,-19.0216163679986
"CHOYP_IPO5.1.1|m.25693",-11.066118267159,-11.1926267261226,-10.0199889153547,-10.6895044535019,-8.92710079773567,-9.43869674927226
"CHOYP_IPO9.1.4|m.24013",-4.40861494182397,-5.38836412953128,-4.242231783743,-3.69070899304573,-3.68897091002537,-3.5542141500803
"CHOYP_ISCU.1.1|m.37414",-5.28638796861316,-7.25160236428396,-6.18034544124581,-7.17098270440601,-4.3866548088069,-6.0494733307872
"CHOYP_ISCW_ISCW001592.1.2|m.20852",-17.5943689305601,-15.5487531397477,-18.1922663880486,-14.0150000862927,-8.31633930978715,-11.7261353019129
"CHOYP_ISCW_ISCW003477.1.1|m.37800",-16.7731085663867,-16.2629129548617,-17.263972591199,-17.6838686723817,-16.7210323464813,-18.6492218096821
"CHOYP_NUCL.2.2|m.21719",-23.1952809041045,-16.6769917712899,-14.3721639167149,-24.6048963902776,-10.2412008897116,-9.81030272219606
"CHOYP_RPL36.1.1|m.57199",-6.53080485039647,-5.76253604656638,-6.04815815020454,-7.27815495855261,-6.14403863931692,-2.76921790456352
"CHOYP_NUCL.1.2|m.19135",-10.0559865535888,-11.4001458357885,-11.4864769689095,-9.93505506966727,-8.73897898879957,-8.79255241708323
"CHOYP_BT3L4.1.1|m.2144",-33.0738371336433,-34.4044450856309,-29.1548789262417,-31.3645639809648,-32.8287278203492,-24.1059102912041
"CHOYP_ISCW_ISCW007151.1.2|m.41781",-4.87886136549363,-1.34711598228369,-2.47272509484983,-2.93676916514434,-4.72198410027491,-2.01343558417405
