"","ID","Cluster","D3","D5","D7","D9","D11","D13"
"184","3_CHOYP_AGAP_AGAP008287.1.1.m.58727",1,9.9295,7.53375,10.5155,18.58375,5.6193,10.26585
"185","3_CHOYP_AGAP_AGAP010186.1.1.m.62503",4,0.1,0.1,0.1,0.6076,0.1,0.1
"186","3_CHOYP_AGAP_AGAP010186.1.1.m.62505",2,0.1,0.1,0.1,0.1,0.1,6.12135
"187","3_CHOYP_AGAP_AGAP010490.1.1.m.51445",4,0.52615,0.1,0.1,0.1,0.22765,0.1
"188","3_CHOYP_AGAP_AGAP011617.1.2.m.29071",3,0.1,1.4318,1.12925,2.27705,0.80975,1.4782
"189","3_CHOYP_AGAP_AGAP013102.1.1.m.50186",5,0.1,0.1,0.1,3.64625,0.1,0.1
"190","3_CHOYP_AGO2.1.1.m.17145",4,0.1,0.1,0.1,0.1,0.1,0.1
"191","3_CHOYP_AGPS.1.1.m.62910",3,1.76455,0.927,1.82035,2.7662,1.9455,2.3686
"192","3_CHOYP_AGRIN.2.5.m.5339",1,67.3832,73.38875,69.3723,50.72465,47.5027,60.23575
"193","3_CHOYP_AGRIN.3.5.m.5652",1,17.3546,17.5909,25.76105,7.5694,15.6902,14.32155
"194","3_CHOYP_AGRIN.4.5.m.27580",4,1.42195,0.1,0.1,0.1,0.1,0.1
"195","3_CHOYP_AGSA.1.1.m.5200",4,0.1,0.1,0.1,0.1,0.1,0.1
"196","3_CHOYP_AHCTF1.1.1.m.17461",4,0.26835,0.1,0.4637,0.46715,0.5523,0.352
"197","3_CHOYP_AIFM1.1.1.m.1582",3,1.74415,1.75675,1.8471,3.753,3.9482,8.4106
"198","3_CHOYP_AIMP1.1.1.m.16360",1,31.9763,33.91625,24.7588,30.50645,34.3007,37.12035
"199","3_CHOYP_AJL2.1.1.m.26431",4,0.1,0.1,0.1,0.1,0.1,0.1
"200","3_CHOYP_AK5.1.2.m.7331",1,17.8129,8.95955,9.4202,4.87495,10.0679,12.25745
"201","3_CHOYP_AKD1.2.3.m.49697",6,14.2801,0.1,0.1,0.1,2.2142,0.1
"202","3_CHOYP_AKD1.3.3.m.63103",1,14.02985,6.38415,6.97015,4.3978,2.1754,4.54915
"203","3_CHOYP_AKP13.1.5.m.12951",3,0.61085,0.6061,0.6312,0.63685,0.3623,0.1
"204","3_CHOYP_AKT1.2.2.m.51125",1,8.72595,7.6521,8.069,11.6054,2.4871,12.03185
"205","3_CHOYP_AL1A1.1.1.m.24832",1,51.55935,56.0905,53.483,43.2103,57.235,58.49525
"206","3_CHOYP_AL4A1.1.1.m.28988",1,41.25695,29.2754,24.7769,25.91815,28.6211,27.1502
"207","3_CHOYP_AL8A1.1.1.m.13904",1,7.6695,11.0447,13.9426,15.1493,12.41215,27.12715
"208","3_CHOYP_ALAT2.1.1.m.15163",1,38.7731,36.09645,29.15855,42.5163,41.54925,35.15985
"209","3_CHOYP_ALDH2.3.3.m.25044",1,63.62965,71.37235,73.9533,85.26545,92.87135,83.437
"210","3_CHOYP_ALDR.1.1.m.50075",1,18.34215,33.5983,31.86015,28.53075,26.42825,32.1656
"211","3_CHOYP_ALF.1.3.m.25601",1,63.02985,72.2687,76.2334,61.03545,66.4718,84.8547
"212","3_CHOYP_ALF.2.3.m.40474",1,103.4499,111.1261,118.272,119.15585,112.42815,133.0307
"213","3_CHOYP_ALF.3.3.m.66837",2,0.1,0.1,0.1,1.67275,8.77845,10.6563
