"","Protein","X0","X3","X5","X7","X9","X11","X13","X15"
"163","3_CHOYP_OCA2.1.1|m.46084",0,0,0,0,0,0,0,0.5
"164","3_CHOYP_PGPS1.1.1|m.10148",0,0.5,0,0,0,0,0,0
"165","3_CHOYP_TMC3.1.1|m.4078",0,0,0,0.5,0,0,0,0
"166","3_CHOYP_BRAFLDRAFT_91062.1.1|m.77",0,0.5,0,0,0,0,0,0
"167","3_CHOYP_FGFR2.1.3|m.20151",0,0.5,0,0,0,0,0,0
"168","3_CHOYP_LOC100367242.1.2|m.48297",0,0,0,0,0.5,0,0,0
"169","3_CHOYP_LOC100368410.2.2|m.44510",0,0.5,0,0,0,0,0,0
"170","3_CHOYP_LOC100372392.4.8|m.31087",1,0.5,0,0,0,0,0,0
"171","3_CHOYP_LOC100375491.1.1|m.11693",0,0.5,0,0,0,0,0,0
"172","3_CHOYP_LOC100708199.6.6|m.57028",0,0.5,0,0,0,0,0,0
"173","3_CHOYP_LOC100888253.1.1|m.18761",0.5,0,0,0,0,0.5,0,0
"174","3_CHOYP_LOC101065149.1.1|m.49591",0,0,0,0,0,0.5,0,0
"175","3_CHOYP_LOC579946.20.24|m.55163",0,0,0,0,0,0,0,0.5
"176","3_CHOYP_MB21L.1.1|m.35723",0,0,0,0.5,0,0,0,0
"177","3_CHOYP_MCA3A.1.2|m.24375",0.5,0,0,0,0.5,0,0,0
"178","3_CHOYP_METK1.2.2|m.65101",0,0,0,0,0,0,0,0.5
"179","3_CHOYP_NEMVEDRAFT_V1G171044.1.1|m.44527",0,0,0,0,0.5,0,0,0
"180","3_CHOYP_PPR37.1.1|m.27483",0,0,0.5,0,0,0,0,0
"181","3_CHOYP_RREB1.1.1|m.11945",0.5,0,0.5,0,0,0,0,0
"182","3_CHOYP_RS7.5.9|m.38700",0,0.5,0,0,0,0,0,0
"183","3_CHOYP_STERM_3136.1.1|m.53971",0,0,0.5,0,0,0,0,0
"184","3_CHOYP_TRM5.1.1|m.24347",0,0.5,0,0,0,0,0,0
"185","3_CHOYP_AAEL_AAEL007549.1.1|m.13827",0,0.5,0,0,0,0,0,0
"186","3_CHOYP_AAEL_AAEL013635.1.1|m.54371",0,0,0,0,0,0,0,0.5
"187","3_CHOYP_BRAFLDRAFT_74594.3.3|m.1992",0,0,0.5,0,0,0,0,0
"188","3_CHOYP_BRAFLDRAFT_91321.10.10|m.59301",0.5,0,0,0,0.5,0,0,0
