"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
8,"3","CHOYP_BAP31.1.1.m.62939",11.63115,8.96995,8.9756,9.4993,9.57005,15.15985,12.3604
13,"3","CHOYP_BARBAKC583_0145.1.1.m.10555",0.1,0.1,0.3916,0.1,0.1,0.1,0.1
19,"3","CHOYP_BAT1.4.4.m.32273",0.1,0.1,0.1,1.1634,0.1,0.1,1.52845
19,"3","CHOYP_BAZ1A.1.1.m.9485",0.4135,0.40025,0.1,0.4289,0.4309,0.4528,0.5333
17,"3","CHOYP_BAZ1B.1.1.m.24480",1.09705,2.46525,1.75905,1.47715,1.1205,0.45385,1.4559
2,"3","CHOYP_BBOV_II003210.5.13.m.30678",6.18905,3.03915,6.0064,0.1,6.3622,3.4705,0.1
2,"3","CHOYP_BCKD.2.2.m.60038",9.06665,5.8174,5.86445,5.15775,4.14125,3.28005,2.67435
13,"3","CHOYP_BCL3.1.2.m.56007",0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,"3","CHOYP_BCL7A.1.1.m.29528",8.30185,8.0124,10.75145,11.3042,2.94495,18.0402,3.7313
31,"3","CHOYP_BDH2.2.2.m.57286",5.05785,3.2667,17.68075,1.72515,6.8155,9.14975,37.7697
2,"3","CHOYP_BET1L.1.1.m.8210",9.232,4.50885,8.95955,4.84955,9.4903,0.1,0.1
22,"3","CHOYP_BH13620.1.1.m.41020",3.10955,1.51655,0.1,0.1,0.1,0.1,0.1
6,"3","CHOYP_BIG3.1.1.m.51447",0.1,0.1,0.99645,0.1,0.1,0.1,0.1
17,"3","CHOYP_BIG3.1.1.m.51448",4.058,2.93,1.9691,2.07035,1.07535,3.3341,2.69395
29,"3","CHOYP_BIR7B.2.2.m.60973",0.1,7.56345,1.59285,0.1,0.1,1.7845,0.1
7,"3","CHOYP_BIRC6.1.2.m.51516",0.5677,0.65605,0.44345,0.8172,0.7078,0.24755,0.2005
10,"3","CHOYP_BLIMP.1.1.1.m.55502",0.1,0.1,0.1,0.1,0.1,0.79215,0.1
17,"3","CHOYP_BLOC1S4.1.1.m.22903",5.8969,2.881,2.9316,0.1,5.9743,0.1,0.1
7,"3","CHOYP_BM1_05690.1.1.m.23253",0.8788,0.1,1.67575,1.6872,1.69975,0.1,0.1
8,"3","CHOYP_BM1_24035.1.1.m.40152",4.77605,18.1804,34.28315,31.3126,24.31205,28.2409,18.77735
33,"3","CHOYP_BM1_57400.5.7.m.58033",2.85765,0.1,0.1,2.895,1.01195,0.1,0.1
33,"3","CHOYP_BM8F.1.2.m.3009",0.1,0.1,0.1,5.2387,0.1,0.1,0.1
8,"3","CHOYP_BM8F.2.2.m.35731",0.1,0.1,33.70835,31.1615,17.7943,14.0939,28.73475
19,"3","CHOYP_BPTF.1.1.m.25244",0.6414,0.4606,0.26005,0.1,0.4966,0.46595,0.56725
17,"3","CHOYP_BRAF.2.3.m.21192",2.29015,1.52605,1.5135,0.1,0.8222,0.1,1.06555
13,"3","CHOYP_BRAFLDRAFT_100614.1.1.m.31700",0.1,0.1,0.1,0.1,0.1,0.1,0.1
5,"3","CHOYP_BRAFLDRAFT_100695.1.1.m.47761",58.04665,50.10535,15.27395,24.68165,18.8372,9.25045,0.1
10,"3","CHOYP_BRAFLDRAFT_102226.1.1.m.48829",0.1,0.1,0.1,0.1,0.1,0.99885,0.1
7,"3","CHOYP_BRAFLDRAFT_104092.10.11.m.53767",0.8116,0.83,0.1,0.4562,0.47415,0.49855,0.5894
21,"3","CHOYP_BRAFLDRAFT_104267.1.1.m.52332",0.1,0.1,1.41155,1.4362,0.1,3.0204,0.1
22,"3","CHOYP_BRAFLDRAFT_106560.13.14.m.62780",3.01915,1.18615,0.26985,0.1,0.1,0.1,0.5934
25,"3","CHOYP_BRAFLDRAFT_106560.4.14.m.5053",0.1,0.1,0.1,0.1,1.01525,0.1,2.536
27,"3","CHOYP_BRAFLDRAFT_107506.1.1.m.15759",0.1,0.1,0.1,0.1,0.1,0.1,10.21075
2,"3","CHOYP_BRAFLDRAFT_108193.2.2.m.37878",7.5816,7.3173,9.75435,7.6936,5.20015,16.62485,10.07835
16,"3","CHOYP_BRAFLDRAFT_108792.2.5.m.31493",1.1037,3.03565,0.1,2.23575,0.1,0.1,0.1
9,"3","CHOYP_BRAFLDRAFT_108792.3.5.m.34514",3.33925,0.1,0.1,0.1,0.1,0.1,0.1
7,"3","CHOYP_BRAFLDRAFT_108792.4.5.m.45892",0.1,0.7024,0.7554,0.6908,0.79415,0.1543,0.90055
10,"3","CHOYP_BRAFLDRAFT_109340.1.1.m.30107",0.60365,0.1,0.1,0.1,0.1,0.66045,0.1
17,"3","CHOYP_BRAFLDRAFT_109688.1.1.m.59704",9.1348,3.3326,6.53835,0.1,3.48465,0.1,0.1
8,"3","CHOYP_BRAFLDRAFT_113596.1.1.m.53557",14.05185,13.53915,13.6082,14.29095,8.71995,9.1575,18.6537
7,"3","CHOYP_BRAFLDRAFT_113696.1.1.m.54166",0.1,1.2852,0.1,1.3365,2.6423,0.1,1.75825
14,"3","CHOYP_BRAFLDRAFT_114006.1.1.m.49056",11.16215,7.6865,3.0984,3.2458,3.27675,1.7672,2.1671
9,"3","CHOYP_BRAFLDRAFT_114204.1.1.m.15168",1.77995,1.70845,0.1,0.1,1.79405,0.1,0.1
2,"3","CHOYP_BRAFLDRAFT_114350.1.1.m.14176",8.0552,9.30895,6.2099,3.3985,9.87605,0.1,2.18555
2,"3","CHOYP_BRAFLDRAFT_114633.1.1.m.49577",0.1,0.1,4.6543,0.1,0.1,2.62955,6.3675
21,"3","CHOYP_BRAFLDRAFT_114709.1.1.m.17347",0.1,0.1,0.1,2.7128,2.7006,1.9968,4.6769
13,"3","CHOYP_BRAFLDRAFT_114866.4.5.m.35626",0.1,0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_115029.1.2.m.8365",0.1,0.1,3.8585,8.10515,4.0989,12.61555,0.1
18,"3","CHOYP_BRAFLDRAFT_115265.1.1.m.5158",0.1,4.02815,0.1,0.1,0.1,0.1,0.1
7,"3","CHOYP_BRAFLDRAFT_115611.1.1.m.33392",0.1,0.1,0.1,1.2886,1.25395,0.1,0.1
8,"3","CHOYP_BRAFLDRAFT_115951.1.1.m.22622",22.5758,18.31325,18.42715,15.79065,21.9947,29.7972,31.5712
14,"3","CHOYP_BRAFLDRAFT_116053.1.1.m.63017",4.77515,9.20195,0.1,2.44,0.1,0.1,0.1
7,"3","CHOYP_BRAFLDRAFT_117157.1.3.m.7944",0.9201,0.4944,0.49065,0.1,0.97995,0.1,0.1
2,"3","CHOYP_BRAFLDRAFT_117158.2.2.m.42430",7.33375,1.8188,8.0086,12.19825,12.25125,10.9696,15.80435
13,"3","CHOYP_BRAFLDRAFT_117187.2.4.m.3553",0.1,0.1,0.1,0.1,0.1,0.1,0.1
17,"3","CHOYP_BRAFLDRAFT_117216.1.1.m.25201",2.1272,6.0142,2.04445,0.1,2.1547,0.1,0.1
29,"3","CHOYP_BRAFLDRAFT_117263.1.1.m.28027",1.49265,5.574,2.82035,2.94545,2.97345,1.6058,0.1
22,"3","CHOYP_BRAFLDRAFT_117315.1.2.m.7247",2.77375,0.5856,0.1,0.1,0.1,0.1,0.1
25,"3","CHOYP_BRAFLDRAFT_117365.1.2.m.12413",0.1,0.1,0.1,0.1,2.9358,0.1,1.9434
14,"3","CHOYP_BRAFLDRAFT_117365.2.2.m.31681",13.9596,12.10265,0.1,0.1,0.1,0.1,1.90045
23,"3","CHOYP_BRAFLDRAFT_117560.1.1.m.18467",1.6366,1.57875,3.07185,1.69555,4.85335,0.1,0.1
14,"3","CHOYP_BRAFLDRAFT_117631.1.1.m.45793",12.4128,11.20675,4.5174,5.52625,0.1,1.6921,2.0601
13,"3","CHOYP_BRAFLDRAFT_117675.1.1.m.33772",0.60865,0.1,0.5979,0.1,0.6132,0.1,0.1
2,"3","CHOYP_BRAFLDRAFT_117737.1.1.m.4255",6.66815,6.42485,8.5791,13.7057,11.39565,4.852,0.1
31,"3","CHOYP_BRAFLDRAFT_117811.1.1.m.27128",0.1,0.1,0.1,0.1,8.2229,0.1,16.0987
10,"3","CHOYP_BRAFLDRAFT_117821.1.1.m.16201",0.1,0.1,2.37685,0.1,0.1,2.7354,0.1
16,"3","CHOYP_BRAFLDRAFT_117849.1.3.m.2806",0.701,1.25135,0.1,2.00045,0.1,0.1,0.1
13,"3","CHOYP_BRAFLDRAFT_117849.3.3.m.5503",0.1,0.1,0.1,0.1,0.80045,0.1,0.1
17,"3","CHOYP_BRAFLDRAFT_117875.1.1.m.48427",1.1261,0.54185,0.54575,2.5658,3.998,1.8315,1.49325
