"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
6,"3","CHOYP_BRAFLDRAFT_119209.1.1.m.4850",12.2975,1.3049,2.7041,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_119955.1.1.m.16485",8.37195,2.1305,4.433,8.85695,7.07455,5.7682
4,"3","CHOYP_BRAFLDRAFT_119982.1.1.m.62398",0.7025,0.1,0.1,0.7561,0.1,0.9459
1,"3","CHOYP_BRAFLDRAFT_120433.1.1.m.66614",5.0787,5.09735,1.81025,9.06875,5.7791,0.1
1,"3","CHOYP_BRAFLDRAFT_120607.1.3.m.8455",9.5488,4.33385,6.05705,3.09015,1.63565,2.3035
3,"3","CHOYP_BRAFLDRAFT_120970.1.1.m.63798",0.1,0.1,1.0437,0.1,0.1,2.636
4,"3","CHOYP_BRAFLDRAFT_120993.1.2.m.41307",0.1,0.1,0.1,1.2613,1.2966,0.1
3,"3","CHOYP_BRAFLDRAFT_121459.1.1.m.21810",0.1,0.1,2.35075,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_121667.1.2.m.12193",26.1511,17.0209,21.2059,23.02885,1.7672,0.1
4,"3","CHOYP_BRAFLDRAFT_121887.1.1.m.59668",0.1,0.5046,0.51285,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_121902.1.1.m.64757",1.9474,3.81255,8.09325,10.13005,4.28425,5.2717
3,"3","CHOYP_BRAFLDRAFT_122339.1.1.m.58748",9.00275,3.10965,0.1,0.1,3.3976,0.1
3,"3","CHOYP_BRAFLDRAFT_122572.1.1.m.29320",6.4357,0.1,2.36305,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_122687.1.1.m.47713",12.51945,4.19475,4.38185,8.79755,4.8334,0.1
3,"3","CHOYP_BRAFLDRAFT_122791.1.6.m.8640",0.1,0.7735,0.8149,0.1,0.1,0.40085
4,"3","CHOYP_BRAFLDRAFT_122927.1.1.m.51870",1.6568,4.8295,0.1,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_123298.1.1.m.483",0.79005,3.8164,0.1,0.8508,0.1,3.0505
3,"3","CHOYP_BRAFLDRAFT_123397.1.1.m.42218",0.69765,0.1,0.72455,0.1,0.1,0.1
6,"3","CHOYP_BRAFLDRAFT_123537.2.2.m.50531",42.65125,9.8187,10.32345,6.5658,0.1,0.1
2,"3","CHOYP_BRAFLDRAFT_124064.3.6.m.38212",0.1,0.1,0.1,0.1,3.82135,9.30945
4,"3","CHOYP_BRAFLDRAFT_124611.1.1.m.34341",0.1,0.6257,0.6588,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_125073.1.1.m.1752",8.26595,3.32865,0.1,3.5258,5.5852,2.3244
3,"3","CHOYP_BRAFLDRAFT_125356.3.3.m.35009",0.1,0.7951,0.8589,0.8363,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_125403.1.1.m.30476",0.6605,0.1,0.7105,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_125658.1.1.m.27104",0.1,0.1,0.1,0.833,0.90635,0.1
1,"3","CHOYP_BRAFLDRAFT_125735.1.3.m.26333",10.1659,15.42635,5.5352,0.1,5.725,14.07405
4,"3","CHOYP_BRAFLDRAFT_125999.1.1.m.24819",0.1,0.1,0.1,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_126338.1.1.m.59058",0.8372,0.4661,0.1,0.1,0.51735,0.1
6,"3","CHOYP_BRAFLDRAFT_126378.2.2.m.11826",11.64715,0.1,0.1,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_126506.1.1.m.60629",3.2189,8.62475,5.751,5.74785,2.4309,8.87865
3,"3","CHOYP_BRAFLDRAFT_126750.1.1.m.40768",0.1,0.1,2.3538,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_126756.1.1.m.29611",2.7054,0.1,1.47915,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_126856.1.3.m.24519",9.20235,0.1,0.1,1.65415,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_126923.1.1.m.5580",10.29235,7.81235,3.6693,5.49275,1.008,3.54585
1,"3","CHOYP_BRAFLDRAFT_127065.5.7.m.28848",41.7234,28.0627,25.77505,16.72425,2.0444,0.1
3,"3","CHOYP_BRAFLDRAFT_128033.2.2.m.54293",0.1,0.46125,3.092,3.5461,1.3985,0.6195
4,"3","CHOYP_BRAFLDRAFT_128129.1.1.m.63237",4.4562,0.1,0.1,0.1,1.7098,0.1
3,"3","CHOYP_BRAFLDRAFT_128562.2.4.m.33663",0.99665,0.1,0.58775,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_129004.15.15.m.60150",5.83295,3.02605,3.0799,3.2139,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_129048.1.1.m.1769",0.1,0.1,0.1,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_129063.1.1.m.15419",0.1,0.1,0.1,0.1,1.80775,0.1
2,"3","CHOYP_BRAFLDRAFT_129108.1.2.m.2456",0.1,0.1,0.1,2.8071,0.1,7.00425
4,"3","CHOYP_BRAFLDRAFT_129932.1.1.m.30332",1.65435,1.11185,0.6234,0.1,0.68315,0.1
4,"3","CHOYP_BRAFLDRAFT_129967.4.4.m.64315",0.2615,0.1,0.1,0.91255,0.95345,0.3425
3,"3","CHOYP_BRAFLDRAFT_131834.1.1.m.29489",5.0589,0.1,0.1,5.39735,0.1,3.53165
3,"3","CHOYP_BRAFLDRAFT_136434.1.1.m.33244",4.80825,4.843,5.092,5.1299,5.4421,0.1
5,"3","CHOYP_BRAFLDRAFT_150340.1.4.m.7435",0.1,0.1,0.1,1.76205,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_151236.1.1.m.30653",44.7542,31.25935,0.1,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_202721.1.2.m.18687",5.4006,0.1,0.1,16.8453,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_202783.1.2.m.21505",0.1,0.1,0.1,0.1,0.1,0.1
6,"3","CHOYP_BRAFLDRAFT_204736.1.2.m.27864",36.76145,7.3748,0.1,2.24625,1.2253,0.1
3,"3","CHOYP_BRAFLDRAFT_204923.2.2.m.63877",2.94325,2.9333,0.1,0.1,0.1,4.0514
1,"3","CHOYP_BRAFLDRAFT_205095.2.2.m.62915",6.7773,8.55525,7.1773,5.5642,1.99375,4.6695
3,"3","CHOYP_BRAFLDRAFT_205939.3.3.m.64021",0.1,0.1,0.1,3.2675,3.47455,4.2814
5,"3","CHOYP_BRAFLDRAFT_206799.1.23.m.3242",0.1,0.1,0.1,1.92375,0.1,0.1
